"V1","V2","V3","OBS","temp1","temp2","temp3","h1","h2","h3","conif","black"
1,1,1,3,7.51355490713023,10.2513145032231,12.6767141631648,9,10,26,1,0
0,0,0,0,4.70642060043632,7.62181707803984,10.2898914641268,10,12,26,0,0
1,1,1,3,8.44088551534459,12.5887595690494,12.0296636253312,10,16,26,1,0
1,1,1,3,5.96589902991914,10.8093039568967,11.5995912102337,9,12,27,1,1
0,1,0,1,6.93789950844779,10.3408454841187,13.3173060475158,11,15,24,0.6,1
0,0,0,0,7.62891454199204,10.2236832735559,10.6145341103813,9,14,24,0.3,0
1,1,1,3,6.69784942920478,9.97660711968112,11.5263867044983,9,18,23,0.8,1
1,1,1,3,8.192265480255,12.9065442468037,11.843784760824,11,15,28,0.9,0
0,0,0,0,6.7621860414053,8.23308041838566,8.95702602285067,7,18,25,0.1,0
1,0,1,2,8.81535702778508,7.95353114306661,10.1909602117946,10,20,22,0.9,0
0,0,0,0,7.72452964208069,10.4916127407906,11.9570553873156,10,15,20,0.5,1
1,1,1,3,9.18670152811905,11.8081145450089,11.0272363476896,9,12,28,0.9,1
0,0,0,0,7.01454280634158,8.92386651416276,9.61888327103001,5,12,26,0.5,1
1,1,1,3,8.73069824462481,10.8854451981041,12.6807782643553,9,15,27,1,0
1,1,0,2,10.6223021320594,12.1965156261696,11.3891068748007,12,15,26,0.7,1
1,1,0,2,10.0196205363724,10.2136919803213,11.0516200726449,8,12,23,0.8,1
0,0,0,0,6.7196529244469,9.52747021283274,10.6299449671865,7,15,23,0.4,1
1,1,0,2,9.62818749869616,8.75530756308418,10.2249488888777,9,14,24,0.8,1
0,0,0,0,7.16748796693849,9.90069550634296,10.9578706946314,12,12,23,0.2,0
1,0,1,2,10.5398562934587,10.7494264923288,10.943766119784,11,20,24,0.7,0
1,1,0,2,8.44755893107646,8.53917046196439,10.1109783164178,12,14,24,1,1
0,0,0,0,6.43888174706132,7.81064086390026,10.0459515464005,10,17,25,0.1,1
1,1,1,3,6.67540802954431,11.0658407174852,11.4244539868628,8,12,29,0.8,1
1,0,1,2,8.81514146060528,11.0363983737681,12.8340193830756,8,14,28,0.7,1
0,1,1,2,10.0402056362461,9.20683413479229,12.0095434600231,10,15,27,0.7,1
1,0,1,2,8.67553963076954,9.87869951102011,9.93293590416942,6,15,28,1,0
0,1,0,1,7.74443135101708,9.42311931227801,11.9939860262937,9,16,27,0.5,1
0,0,0,0,8.03338839323283,8.42806050380835,10.5992082270084,9,9,23,0.4,0
1,1,0,2,10.5583881051505,11.3589701907564,11.0602309305792,11,16,26,0.9,1
0,1,1,2,9.15358476700062,8.39546189038589,10.976796470708,10,15,25,0.8,1
1,0,1,2,8.00851163760042,10.5232563386614,12.2476811222131,14,19,27,0.8,0
0,0,0,0,6.53217971151968,8.05789048614742,10.7278147597214,7,15,28,0.5,1
1,1,1,3,6.92132861928246,12.4672741469891,12.7334644789355,5,15,24,0.9,1
1,1,1,3,7.10050056116447,12.1986610690203,12.0067832931528,8,14,25,1,1
0,0,1,1,7.79835568012874,12.4612308777533,12.9295164242938,7,14,23,0.6,1
1,1,1,3,8.77178517828021,12.0312424584417,11.8109275237752,12,16,26,1,0
1,1,1,3,7.36854130296082,12.3624278351392,12.9361669256287,10,16,25,0.9,1
0,0,0,0,7.06752822152625,7.65874788468234,10.296895841109,8,14,27,0.3,1
0,0,0,0,6.91114689885799,9.46576569786853,9.93849537504858,10,15,25,0.1,1
0,0,0,0,4.41093038148031,10.6021714222537,8.78601129137381,10,17,25,0,0
1,1,1,3,8.39674923949587,11.3175481392735,12.0231469863879,6,15,25,1,0
0,0,0,0,5.852923372236,8.08243412443966,10.1625954051025,5,15,26,0.2,1
1,1,0,2,8.67085547329442,11.162001917791,10.7507678421534,6,17,24,0.8,0
0,0,0,0,6.34587135326795,8.4743113117125,8.09693219036825,7,14,26,0.4,1
1,1,1,3,7.76587979718988,10.3943492376531,13.0673837608545,8,14,30,0.8,1
1,1,1,3,6.7442360081503,11.913769893018,11.1056076953696,11,18,25,0.9,1
1,1,1,3,9.06670725832883,10.7954843236894,13.82461849563,9,13,23,0.8,1
1,1,1,3,8.7509894460323,12.4823142271576,11.496294821335,8,14,24,0.8,0
0,0,0,0,6.36637218616099,10.4978768127128,10.1669887809233,8,14,28,0.2,1
1,1,1,3,7.59645981015564,11.3317203541895,10.6639175760465,9,16,25,0.9,0
0,0,0,0,4.98871689363373,8.98613143215877,11.6749160712874,7,14,24,0.4,1
0,0,0,0,6.50329723871543,8.83205666550275,9.01851161046559,9,15,27,0.2,0
0,0,0,0,5.65681690618788,9.14716694892364,10.6192994890158,9,15,23,0.4,0
0,0,0,0,7.65368644302469,8.6130704870574,9.78319011098411,11,16,25,0.2,1
1,0,0,1,7.01535449748179,10.4106551060058,10.2194202738671,7,18,26,0.7,0
0,1,1,2,10.1084036066057,10.2298119820451,13.6566181287031,8,14,20,0.9,1
0,0,0,0,6.88774433043423,8.56389574657477,10.444855692374,10,14,27,0.5,1
1,1,0,2,8.43489862628027,10.8749587694027,10.3936182321313,11,16,23,0.8,1
0,0,0,0,5.90550569097826,7.44569352967327,8.83375038635402,6,14,31,0.4,1
1,0,1,2,6.78403450207832,11.182723037674,10.8715925612814,5,13,26,1,1
1,1,0,2,9.51774227312664,9.48100203884122,10.9872599636715,7,13,24,0.7,1
0,0,0,0,8.2557757151577,10.3442743747345,10.2190221025312,11,15,23,0.4,0
1,1,1,3,7.3929552231355,11.1001319281935,12.1451898013676,7,14,26,1,1
1,1,0,2,7.17005422920836,10.8298456228698,10.9969476384657,12,14,23,0.8,1
0,0,0,0,6.82184915850657,10.0444743180407,9.6073563571623,10,17,25,0.2,1
1,1,1,3,6.57117855256257,11.0015898027962,11.4007678054485,10,14,29,0.9,1
0,0,0,0,6.41172414141742,8.90576202031272,8.74841264006022,12,13,27,0.1,1
1,0,1,2,9.47498212074788,10.6661036149616,11.4210443547359,10,14,21,1,1
0,1,1,2,7.64486472358723,10.5067027727013,11.7618107468952,8,15,25,0.8,1
1,1,1,3,6.78082588181834,10.5323409615502,10.7499514631689,8,15,26,0.9,0
1,1,1,3,8.10271660383985,11.9316254415535,11.1862513127906,6,14,23,0.9,0
1,1,0,2,8.73956511054865,9.60952996651679,10.8335187040513,13,14,30,0.7,0
0,1,1,2,8.55747227560594,9.59882766440839,10.0412883404419,10,16,27,0.7,1
0,1,1,2,9.80414392087266,9.27194501499981,10.8290572236427,7,11,26,0.9,0
1,0,1,2,8.26879348617347,9.1748532593558,10.9399041464589,9,18,24,0.8,0
0,0,0,0,7.40556588160254,9.0517648740663,11.3278711346275,4,17,22,0.1,1
1,1,0,2,9.18812907650515,9.60018075114515,10.542930843758,13,16,27,0.7,0
1,1,1,3,7.85067574153577,12.6222162100692,11.7934320772949,8,13,24,0.9,0
0,0,0,0,7.58040334466909,7.89479547465698,11.0949537490269,7,12,24,0.1,1
0,0,1,1,8.80755811585437,9.18898811518445,12.9305004285708,8,14,27,0.6,0
0,0,0,0,7.91521541667403,8.11682391456629,11.0543086270156,9,12,29,0.5,1
0,0,0,0,7.793784381164,8.58989966601709,10.3329518083055,10,18,21,0.4,0
0,0,0,0,6.86910606805612,9.13988625175465,10.10874399959,5,14,26,0.5,1
0,0,0,0,5.41147072152084,8.62467475464213,11.5874440435831,8,14,25,0.4,1
1,1,1,3,9.00485734229289,8.94049895593985,12.6146419077022,13,16,24,1,0
1,0,0,1,8.30128677381718,9.05623273009352,13.7493340173032,6,15,26,0.5,1
1,0,0,1,7.80221480835652,9.08206306437198,11.9038937031231,7,10,27,0.7,1
1,1,1,3,8.43640982275275,10.8168230707947,13.7884796229727,7,13,23,0.8,0
0,0,0,0,6.7758523205829,10.566982613709,9.91131119506562,9,12,24,0.1,1
0,0,0,0,7.34893899421439,8.9633467259555,8.95409967963955,5,13,26,0.5,0
0,0,0,0,9.0630208337388,9.073087023796,9.06090757119708,12,17,24,0.2,0
0,0,0,0,5.97426284188998,7.93722310804527,8.97044604130793,10,16,27,0.5,1
1,1,1,3,6.89137199983088,11.5719844219075,12.105163485748,9,14,27,1,1
0,0,0,0,7.11657267202999,9.14094874421137,9.47498814623722,10,18,29,0.1,0
1,0,1,2,8.31668539255908,8.88628676047671,10.3914587890684,12,17,26,0.8,0
0,0,0,0,7.23302004913758,7.697218043941,9.943815541731,5,15,26,0.1,1
1,1,1,3,6.84765334647125,10.8752066249283,11.6435761355524,9,10,23,1,0
1,1,1,3,8.67288267862357,10.4124910689773,11.1789411362975,7,18,28,0.8,0
1,1,1,3,8.31893338874181,9.99767993186341,11.6265547517108,5,15,26,1,0
0,0,0,0,6.78979192284796,8.9017729005377,10.5950592907418,7,19,27,0.2,1
0,0,0,0,6.16508977893127,8.30940424580792,9.14532850910865,7,16,28,0.2,1
0,1,1,2,9.32828227427984,9.80875796448985,10.8712323913328,9,14,22,0.7,1
1,1,1,3,9.78439205996248,9.81329356987343,12.3923809634275,7,13,24,1,0
0,0,0,0,5.60169018077326,9.26667822426037,9.88638335962613,6,11,26,0.2,0
